"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Combined",17,12,3,3,2,112.368607323355,313.738150280383
"Combined",18,12,3,3,2,91.0603855808193,320.068526550314
"Combined",19,12,3,3,2,133.234562107345,431.502387813985
"Combined",20,12,3,3,2,153.164415779047,403.745524629172
"Combined",21,12,3,3,2,107.089117399305,444.10610909217
"Combined",22,12,3,3,2,97.6267208945582,430.336159724691
"Combined",23,12,3,3,2,103.387414696357,403.304015383524
"Combined",24,12,3,3,2,145.106987335658,469.783423800985
"Combined",25,12,3,3,2,84.0683926611902,402.139116214237
"Combined",26,12,3,3,2,151.285682831476,352.196022837346
"Combined",27,12,3,3,2,132.007539292126,338.000088000318
"Combined",28,12,3,3,2,187.43212183126,374.457700076737
"Combined",29,12,3,3,2,161.432770114686,415.52868168471
"Combined",30,12,3,3,2,146.281110459702,458.242971399824
"Combined",31,12,3,3,2,124.468215878714,402.787186857373
"Conspecific",1,13,3,4,1,102.213058124603,438.074358746463
"Conspecific",2,13,3,4,1,151.522503067822,476.000029837738
"Conspecific",3,13,3,4,1,153.445981159464,342.550397942438
"Conspecific",4,13,3,4,1,154.28648856726,361.1404711513
"Conspecific",5,13,3,4,1,160.873587488404,419.72709407286
"Conspecific",6,13,3,4,1,197.500849029754,414.907871029351
"Conspecific",7,13,3,4,1,120.993768538233,355.298766514739
"Conspecific",8,13,3,4,1,117.054049583721,411.650128785507
"Conspecific",9,13,3,4,1,223.036354911923,439.495142215121
"Conspecific",10,13,3,4,1,91.2408407752308,344.646491194019
"Conspecific",11,13,3,4,1,109.743827476413,298.723640850816
"Conspecific",12,13,3,4,1,113.91181804349,339.390783923666
"Conspecific",13,13,3,4,1,184.46875477608,375.502900023202
"Conspecific",14,13,3,4,1,209.119356662892,430.235610288914
"Conspecific",15,13,3,4,1,90.0704592992057,270.980039654537
"Conspecific",16,13,3,4,1,171.773313178327,353.815662553168
"Conspecific",17,13,3,4,1,152.993086029294,459.287650734179
"Conspecific",18,13,3,4,1,84.0477562653937,497.657720616284
"Conspecific",19,13,3,4,1,195.840011516882,446.530112888417
"Conspecific",20,13,3,4,1,108.150008865382,415.854135717239
"Conspecific",21,13,3,4,1,179.468401845394,402.304592675973
"Conspecific",22,13,3,4,1,187.489058091642,403.241770204924
"Conspecific",23,13,3,4,1,122.637575763304,386.070317797799
"Conspecific",24,13,3,4,1,114.466395326657,265.666549356819
"Conspecific",25,13,3,4,1,141.497617983754,346.170582059373
"Conspecific",26,13,3,4,1,128.120841064251,467.375715483152
"Conspecific",27,13,3,4,1,153.325778922339,437.096568338663
"Conspecific",28,13,3,4,1,212.419494083602,429.850120210822
"Conspecific",29,13,3,4,1,127.308072331976,427.996597644783
"Conspecific",30,13,3,4,1,129.289500378497,335.287158689448
"Conspecific",31,13,3,4,1,97.2764721454807,312.038860303118
"Predator",1,14,3,4,1,120.642484760668,414.584275499745
"Predator",2,14,3,4,1,141.682634190691,403.291775544827
"Predator",3,14,3,4,1,144.380856895222,411.588207056583
"Predator",4,14,3,4,1,171.727467347458,433.366641824214
"Predator",5,14,3,4,1,153.166111100139,356.41010624812
"Predator",6,14,3,4,1,138.935604635116,360.559915588106
"Predator",7,14,3,4,1,159.579986128139,384.072738968194
"Predator",8,14,3,4,1,192.641592489056,369.714708019399
"Predator",9,14,3,4,1,170.478690026891,398.4629912495
"Predator",10,14,3,4,1,148.554858747362,396.316636096623
"Predator",11,14,3,4,1,80.0825995402336,365.885398158686
